,from_id,to_id,travel_time
188,1361,ag_quad,22.0
189,1362,arts_quad,22.0
190,1362,eng_quad,27.0
191,1362,ag_quad,26.0
192,1363,arts_quad,19.0
193,1363,eng_quad,21.0
194,1363,ag_quad,25.0
195,1367,arts_quad,29.0
196,1367,eng_quad,31.0
197,1367,ag_quad,30.0
198,1368,arts_quad,29.0
199,1368,eng_quad,31.0
200,1368,ag_quad,31.0
201,1371,arts_quad,29.0
202,1371,eng_quad,31.0
203,1371,ag_quad,36.0
204,1372,arts_quad,29.0
205,1372,eng_quad,31.0
206,1372,ag_quad,36.0
207,1373,arts_quad,29.0
208,1373,eng_quad,31.0
209,1373,ag_quad,36.0
210,1375,arts_quad,29.0
211,1375,eng_quad,31.0
212,1375,ag_quad,35.0
213,1376,arts_quad,29.0
214,1376,eng_quad,31.0
215,1376,ag_quad,36.0
216,1377,arts_quad,32.0
217,1377,eng_quad,34.0
218,1377,ag_quad,38.0
219,1378,arts_quad,32.0
220,1378,eng_quad,34.0
221,1378,ag_quad,39.0
222,1508,arts_quad,9.0
223,1508,eng_quad,16.0
224,1508,ag_quad,19.0
225,1511,arts_quad,7.0
226,1511,eng_quad,14.0
227,1511,ag_quad,16.0
228,1512,arts_quad,6.0
229,1512,eng_quad,10.0
230,1512,ag_quad,15.0
231,1513,arts_quad,6.0
232,1513,eng_quad,10.0
233,1513,ag_quad,15.0
234,1520,arts_quad,8.0
235,1520,eng_quad,11.0
236,1520,ag_quad,12.0
237,1521,arts_quad,8.0
238,1521,eng_quad,11.0
239,1521,ag_quad,12.0
240,1524,arts_quad,2.0
241,1524,eng_quad,10.0
242,1524,ag_quad,9.0
243,1525,arts_quad,3.0
244,1525,eng_quad,10.0
245,1525,ag_quad,8.0
246,1530,arts_quad,8.0
247,1530,eng_quad,5.0
248,1530,ag_quad,16.0
249,1531,arts_quad,8.0
250,1531,eng_quad,4.0
251,1531,ag_quad,16.0
252,1533,arts_quad,6.0
253,1533,eng_quad,3.0
254,1533,ag_quad,11.0
255,1534,arts_quad,8.0
256,1534,eng_quad,2.0
257,1534,ag_quad,12.0
258,1535,arts_quad,11.0
259,1535,eng_quad,4.0
260,1535,ag_quad,9.0
261,1540,arts_quad,4.0
262,1540,eng_quad,6.0
263,1540,ag_quad,8.0
264,1541,arts_quad,5.0
265,1541,eng_quad,6.0
266,1541,ag_quad,7.0
267,1542,arts_quad,8.0
268,1542,eng_quad,10.0
269,1542,ag_quad,4.0
270,1543,arts_quad,8.0
271,1543,eng_quad,10.0
272,1543,ag_quad,4.0
273,1544,arts_quad,9.0
274,1544,eng_quad,11.0
275,1544,ag_quad,5.0
276,1545,arts_quad,10.0
277,1545,eng_quad,12.0
278,1545,ag_quad,5.0
279,1546,arts_quad,10.0
280,1546,eng_quad,12.0
281,1546,ag_quad,9.0
282,1547,arts_quad,11.0
283,1547,eng_quad,12.0
284,1547,ag_quad,10.0
285,1549,arts_quad,8.0
286,1549,eng_quad,9.0
287,1549,ag_quad,4.0
288,1553,arts_quad,12.0
289,1553,eng_quad,13.0
290,1553,ag_quad,11.0
291,1555,arts_quad,12.0
292,1555,eng_quad,14.0
293,1555,ag_quad,11.0
294,1556,arts_quad,15.0
295,1556,eng_quad,16.0
296,1556,ag_quad,14.0
297,1557,arts_quad,15.0
298,1557,eng_quad,16.0
299,1557,ag_quad,14.0
300,1562,arts_quad,14.0
301,1562,eng_quad,14.0
302,1562,ag_quad,12.0
303,1564,arts_quad,14.0
304,1564,eng_quad,14.0
305,1564,ag_quad,14.0
306,165,arts_quad,17.0
307,165,eng_quad,17.0
308,165,ag_quad,19.0
309,1701,arts_quad,18.0
310,1701,eng_quad,16.0
311,1701,ag_quad,18.0
312,1702,arts_quad,19.0
313,1702,eng_quad,17.0
314,1702,ag_quad,20.0
315,1703,arts_quad,19.0
316,1703,eng_quad,16.0
317,1703,ag_quad,19.0
318,1704,arts_quad,19.0
319,1704,eng_quad,16.0
320,1704,ag_quad,19.0
